//  Instrument:	P1	ARIA Player
//  Part-name:	P1	MusicXML Part
# Name	12.xml
# TPQN	4
# Instr	0	0	NA
# Key	0	A	major	3
# Meter	0	4	4	16
# Meter	320	0	0	0
# SPQN	0	0.625	96
# Clef	0	0	G2
# Boundary	0	1
0	0	8	-1	0	0	-
1	8	12	69	0	0	P1-1-2
2	12	16	71	0	0	P1-1-3
3	16	20	73	0	0	P1-2-1
4	20	22	74	0	0	P1-2-2
5	22	32	73	0	0	P1-2-3
6	32	38	73	0	0	P1-3-1
7	38	44	74	0	0	P1-3-3
8	44	48	69	0	0	P1-3-5
9	48	52	68	0	0	P1-4-1
10	52	56	69	0	0	P1-4-2
11	56	60	71	0	0	P1-4-3
12	60	64	73	0	0	P1-4-4
13	64	66	73	0	0	P1-5-1
14	66	84	69	0	0	P1-5-2
15	84	88	66	0	0	P1-6-2
16	88	92	68	0	0	P1-6-3
17	92	96	69	0	0	P1-6-4
18	96	100	69	0	0	P1-7-1
19	100	104	64	0	0	P1-7-2
20	104	108	68	0	0	P1-7-3
21	108	112	69	0	0	P1-7-4
22	112	116	71	0	0	P1-8-1
23	116	120	71	0	0	P1-8-2
24	120	124	66	0	0	P1-8-3
25	124	128	69	0	0	P1-8-4
26	128	136	68	0	0	P1-9-1
27	136	140	69	0	0	P1-9-2
28	140	144	71	0	0	P1-9-3
29	144	148	73	0	0	P1-10-1
30	148	150	74	0	0	P1-10-2
31	150	160	73	0	0	P1-10-3
32	160	164	73	0	0	P1-11-1
33	164	166	73	0	0	P1-11-2
34	166	172	74	0	0	P1-11-3
35	172	176	69	0	0	P1-11-5
36	176	180	68	0	0	P1-12-1
37	180	184	69	0	0	P1-12-2
38	184	188	71	0	0	P1-12-3
39	188	192	73	0	0	P1-12-4
40	192	194	73	0	0	P1-13-1
41	194	212	69	0	0	P1-13-2
42	212	216	66	0	0	P1-14-2
43	216	220	68	0	0	P1-14-3
44	220	224	69	0	0	P1-14-4
45	224	230	68	0	0	P1-15-1
46	230	234	63	0	0	P1-15-3
47	234	236	64	0	0	P1-15-5
48	236	244	66	0	0	P1-15-6
49	244	246	64	0	0	P1-16-2
50	246	248	64	0	0	P1-16-3
51	248	250	66	0	0	P1-16-4
52	250	252	66	0	0	P1-16-5
53	252	254	67	0	0	P1-16-6
54	254	256	67	0	0	P1-16-7
55	256	262	66	0	0	P1-17-1
56	262	268	70	0	0	P1-17-2
57	268	272	73	0	0	P1-17-4
58	272	276	73	0	0	P1-18-1
59	276	278	73	0	0	P1-18-2
60	278	284	74	0	0	P1-18-3
61	284	288	66	0	0	P1-18-5
62	288	292	69	0	0	P1-19-1
63	292	296	68	0	0	P1-19-2
64	296	300	66	0	0	P1-19-3
65	300	304	68	0	0	P1-19-4
66	304	320	69	0	0	P1-20-1
