//  Instrument:	P1	ARIA Player
//  Part-name:	P1	MusicXML Part
# Name	6.xml
# TPQN	4
# Instr	0	0	NA
# Key	0	F	major	-1
# Meter	0	4	4	16
# Meter	128	0	0	0
# SPQN	0	0.625	96
# Clef	0	0	G2
# Boundary	0	1
0	0	2	62	0	0	P1-1-1
1	2	6	65	0	0	P1-1-2
2	6	10	64	0	0	P1-1-3
3	10	14	72	0	0	P1-1-5
4	14	18	62	0	0	P1-1-6
5	18	22	65	0	0	P1-2-2
6	22	26	64	0	0	P1-2-3
7	26	30	72	0	0	P1-2-5
8	30	32	72	0	0	P1-2-6
9	32	35	72	0	0	P1-3-1
10	35	38	70	0	0	P1-3-2
11	38	40	69	0	0	P1-3-4
12	40	42	65	0	0	P1-3-5
13	42	46	65	0	0	P1-3-6
14	46	50	65	0	0	P1-3-7
15	50	52	67	0	0	P1-4-2
16	52	64	67	0	0	P1-4-3
17	64	66	62	0	0	P1-5-1
18	66	70	65	0	0	P1-5-2
19	70	74	64	0	0	P1-5-3
20	74	78	72	0	0	P1-5-5
21	78	82	62	0	0	P1-5-6
22	82	86	65	0	0	P1-6-2
23	86	90	64	0	0	P1-6-3
24	90	96	72	0	0	P1-6-5
25	96	99	72	0	0	P1-7-1
26	99	102	70	0	0	P1-7-2
27	102	104	69	0	0	P1-7-4
28	104	106	65	0	0	P1-7-5
29	106	110	65	0	0	P1-7-6
30	110	114	65	0	0	P1-7-7
31	114	116	67	0	0	P1-8-2
32	116	128	67	0	0	P1-8-3
